Year,Active,Client ID,First Name,Last Name,Gender,Date of Birth,City,Indigenous,PWD,Vet,Emergency Sheltered,Bus Pass,Clothing Supplement,Pet Deposit,PSSG,Status,Deceased
2005,Y,79878301,Zoe,Primeau,Female,26-Nov-78,New Westminster,Y,N,N,Y,N,N,N,N,,
2016,Y,55257682,Amelia,Butler,Female,18-Nov-49,Trail,Y,N,N,Y,N,N,Y,N,,
2022,Y,32225840,Isabell,Patel,Female,25-Dec-73,Vernon,Y,N,N,Y,N,N,N,N,,
2014,Y,92308744,Addison,Ward,Female,18-Jul-94,Powell River,N,N,N,Y,N,N,Y,N,,
2017,Y,82712306,Jack,Mayer,Male,04-Mar-49,Prince Rupert,N,N,Y,Y,N,N,Y,N,,
2020,Y,17609818,Adrian,Morris,Male,13-Sep-53,Quesnel,Y,N,N,Y,N,N,Y,N,,
2018,Y,69859642,Zoe,Walker,Female,03-Nov-96,New Westminster,N,N,N,N,N,N,N,N,,
2004,Y,30543506,Addison,Alexander,Female,13-Jan-87,New Westminster,N,N,N,Y,N,N,Y,N,,
2001,Y,95263119,Rebecca,Chan,Female,19-Apr-90,Mission,Y,N,N,Y,N,N,Y,N,,
2001,Y,66698065,Clara,Lara,Female,16-Mar-87,White Rock,N,N,N,N,N,N,N,N,,
2017,Y,88273236,Ethan,Alexander,Male,16-Oct-65,Burnaby,Y,N,N,N,N,N,N,N,,
2021,Y,15096527,David,Sukkel,Male,08-Oct-80,Prince George,Y,N,N,N,N,N,N,N,,
2015,Y,62316943,Layla,Anderson,Female,10-Jan-75,Burnaby,N,N,Y,Y,N,N,N,N,,
2019,Y,61830924,Jack,Chen,Male,13-Oct-92,Kamloops,N,N,N,N,N,N,N,N,,
2006,Y,78034440,Riley,Brasseur,Female,03-Mar-90,Campbell River,N,N,N,Y,N,N,Y,N,,
2011,Y,14825024,Julian,Claus,Male,21-Nov-64,Castlegar,N,N,N,N,N,N,N,N,,
2011,Y,87769650,Jack,Austin,Male,01-Feb-02,White Rock,Y,N,N,Y,N,N,N,N,,
2011,Y,93800521,Victoria,Gill,Female,16-Sep-73,Dawson Creek,Y,N,N,Y,N,N,Y,N,,
2013,Y,49832079,Aubrey,Jackson,Female,30-Apr-95,New Westminster,N,N,N,N,N,N,N,N,,
2015,Y,22554309,Rose,Russell,Female,16-Jun-95,North Vancouver,N,N,Y,Y,N,N,Y,N,,
2005,Y,75167270,Paisley,Tremblay,Female,12-Nov-79,Port Moody,Y,N,N,Y,N,N,Y,N,,
2011,Y,20001475,Sadie,Viswam,Female,25-May-50,Fort St. John,Y,N,N,N,N,N,N,N,,
2002,Y,71827462,Ian,Grant,Male,19-Apr-52,Victoria,Y,N,N,Y,N,N,Y,N,,
2008,Y,48106623,Tom,Williams,Male,11-Mar-65,Prince George,Y,N,Y,N,N,N,N,N,,
2017,Y,57541326,Audrey,Hodgins,Female,01-May-99,Chilliwack,N,N,N,N,N,N,N,N,,
2021,Y,65453651,Aaron,Born,Male,01-Apr-89,Greenwood,N,N,N,N,N,N,N,N,,
2018,Y,93319038,Alex,Turner,Male,22-Jun-93,West Kelowna,Y,N,N,Y,N,N,Y,N,,
2016,Y,67939742,Adrian,Wood,Male,21-Oct-70,Revelstoke,Y,N,N,N,N,N,N,N,,
2012,Y,81733116,William,Fitzpatrick,Male,12-Sep-55,Greenwood,Y,N,N,Y,N,N,Y,N,,
2014,Y,19954238,James,Morin,Male,18-Nov-87,Victoria,N,N,N,N,N,N,N,N,,
2019,Y,51414876,Julian,Bouchard,Male,04-Oct-59,Salmon Arm,Y,N,N,Y,N,N,N,N,,
2020,Y,58717738,Elizabeth,Amyot,Female,26-Mar-94,Pitt Meadows,N,N,N,Y,N,N,Y,N,,
2005,Y,98336209,Amelia,Richardson,Female,30-Sep-51,Langley,N,N,N,Y,N,N,Y,N,,
2006,Y,31545670,Aaron,Martinez,Male,29-Jun-78,Quesnel,N,N,N,N,N,N,N,N,,
2004,Y,46228720,Samantha,Jacob,Female,09-Feb-87,Rossland,N,N,N,Y,N,N,N,N,,
2012,Y,30149676,Sophie,Bouchard,Female,13-Mar-75,Vernon,Y,N,N,N,N,N,N,N,,
2020,Y,58862071,Aiden,Lowe,Male,14-Feb-54,Fernie,N,Y,N,Y,N,N,Y,N,,
2000,Y,93090115,Madelyn,Hennigar,Female,10-Jun-95,Armstrong,Y,N,N,Y,N,N,Y,N,,
2019,Y,49111198,Clara,Griffin,Female,02-Apr-59,Chilliwack,N,N,N,Y,N,N,Y,N,,
2002,Y,37072249,Lincoln,Johnson,Male,06-Feb-83,Castlegar,Y,N,N,N,N,N,N,N,,
2012,Y,52460768,Riley,Hamilton,Female,26-Jul-53,Terrace,Y,N,N,Y,N,N,Y,N,,
2011,Y,52497493,Lincoln,Gonzalez,Male,23-Aug-94,North Vancouver,Y,N,N,Y,N,N,N,N,,
2000,Y,93473439,Logan,Rivera,Male,08-Nov-72,Langley,Y,N,N,N,N,N,N,N,,
2018,Y,73549281,Liam,Lee,Male,08-Jun-02,Port Coquitlam,Y,N,N,Y,N,N,Y,N,,
2006,Y,59747637,Sofia,Jordan,Female,04-Apr-88,Richmond,N,N,Y,N,N,N,N,N,,
2000,Y,31132987,Rebecca,Benedict,Female,19-Aug-92,Richmond,Y,N,N,N,N,N,N,N,,
2005,Y,66408310,Audrey,Armstrong,Female,21-Jan-03,Port Alberni,Y,N,N,N,N,N,N,N,,
2008,Y,72774717,Brooklyn,Bush,Female,25-Jun-74,Nanaimo,Y,N,N,Y,N,N,Y,N,,
2008,Y,17701888,Sarah,Berger,Female,28-Jan-70,Kamloops,Y,N,N,Y,N,N,Y,N,,
2015,Y,41744989,Aiden,Evans,Male,24-Feb-68,Langford,N,N,N,Y,N,N,Y,N,,
2001,Y,86139872,Cam,Cook,Male,25-Mar-52,Maple Ridge,N,N,N,N,Y,N,N,N,,
2015,Y,67953016,Audrey,Basque,Female,09-Feb-53,Enderby,Y,N,N,Y,N,N,Y,N,,
2008,Y,20771770,Jack,Patton,Male,17-Sep-75,Cranbrook,Y,N,Y,N,N,N,N,N,,
2017,Y,66412641,Hudson,Chan,Male,11-Apr-70,Fernie,Y,N,N,N,N,N,N,N,,
2007,Y,52895201,Joe,Bryant,Male,21-Sep-54,Rossland,Y,N,N,N,N,N,N,N,,
2015,Y,12345318,James,Perez,Male,05-Aug-77,Pitt Meadows,Y,N,N,N,N,N,N,N,,
2011,Y,47245939,Cam,Kennedy,Male,25-Jul-05,Kelowna,N,N,N,N,N,N,N,N,,
2007,Y,52707533,Leo,Yoshida,Male,30-Dec-81,Richmond,Y,N,N,Y,N,N,N,N,,
2017,Y,34770739,Elijah,King,Male,04-Jul-70,Campbell River,Y,N,N,N,N,N,N,N,,
2002,Y,28589107,Oliver,Munroe,Male,18-Jul-85,Kelowna,N,N,N,Y,N,N,Y,N,,
2021,Y,84518768,Charlotte,MacDonald,Female,17-Sep-74,Fernie,Y,N,N,Y,N,N,Y,N,,
2019,Y,87571719,Scarlett,Jacob,Female,19-Mar-59,Vancouver,Y,N,N,Y,N,N,N,N,,
2010,Y,38163252,Cam,Green,Male,06-Jan-04,Courtenay,N,N,N,Y,N,N,N,N,,
2008,Y,68024629,Samantha,Ward,Female,24-Mar-68,Grand Forks,N,N,N,Y,N,N,Y,N,,
2003,Y,93729597,Emily,Rivera,Female,19-Dec-99,Trail,Y,N,N,Y,N,N,N,N,,
2018,Y,54321895,Grace,Hernandez,Female,19-Mar-95,Salmon Arm,Y,N,N,N,N,N,N,N,,
2016,Y,15510309,John,Gilbert,Male,22-Feb-57,Vancouver,N,N,N,N,N,N,N,N,,
2021,Y,36732941,Charles,Parkin,Male,23-Oct-77,Prince Rupert,N,N,N,Y,N,N,Y,N,,
2017,Y,36704834,Hudson,Long,Male,21-Jan-05,Campbell River,Y,N,N,N,N,N,N,N,,
2022,Y,71538535,Naomi,Donahoe,Female,02-Mar-84,Nanaimo,Y,N,N,Y,N,N,N,N,,
2003,Y,72899656,Riley,McNeill,Female,06-Nov-54,Parksville,N,N,N,Y,N,N,N,N,,
2021,Y,93205568,Savannah,Nicholas,Female,05-Jun-50,Merritt,Y,N,N,Y,Y,N,N,N,,
2016,Y,27079553,Ryan,Fitzpatrick,Male,10-Mar-63,Penticton,N,N,N,Y,Y,N,N,N,,
2011,Y,17957901,Ian,Mutadi,Male,13-Feb-56,Vernon,Y,N,N,Y,N,N,Y,N,,
2015,Y,89650307,David,Patton,Male,19-Jan-75,Vancouver,N,N,N,N,N,N,N,N,,
2006,Y,18108648,Dylan,Gagne,Male,07-Sep-51,Rossland,Y,N,Y,Y,N,N,N,N,,
2005,N,46670932,Clara,Chen,Female,04-Aug-96,White Rock,N,N,N,N,N,N,N,N,,
2021,Y,21070874,Julian,Antoine,Male,23-Oct-05,Enderby,N,N,N,Y,N,N,N,N,,
2007,Y,44190123,Aaron,Lacombe,Male,23-Feb-51,Armstrong,Y,N,N,Y,N,N,Y,N,,
2010,Y,77388220,Isabell,Zacher,Female,22-Oct-99,Langford,Y,N,N,N,N,N,N,N,,
2002,Y,26705757,Luke,Ouellet,Male,17-Oct-68,Castlegar,Y,N,N,N,N,N,N,N,,
2001,Y,18844918,William,Mayer,Male,29-May-76,Coquitlam,N,N,N,Y,N,N,Y,N,,
2002,Y,56600556,Paisley,Collins,Female,28-Apr-80,Coquitlam,N,N,N,Y,N,N,Y,N,,
2022,Y,39545608,Evelyn,Long,Female,25-Aug-03,Mission,Y,N,N,Y,N,N,Y,N,,
2018,Y,50379531,Samantha,Bailey,Female,13-May-91,Rossland,Y,N,N,Y,N,N,Y,N,,
2020,Y,65271827,Josephine,Hayes,Female,16-Sep-56,Penticton,Y,N,N,N,Y,N,N,N,,
2002,Y,95454985,Asher,Jenkins,Male,06-Nov-80,Richmond,Y,N,N,Y,N,N,Y,N,,
2016,Y,61266478,Logan,Lavoie,Male,26-Oct-70,Burnaby,Y,N,N,N,N,N,N,N,,
2009,N,26880415,Aubrey,Nelson,Female,01-Mar-86,Castlegar,Y,N,N,N,N,N,N,Y,,
2017,Y,24345303,Lincoln,Wang,Male,14-Oct-74,Fort St. John,Y,N,N,Y,N,N,Y,N,,
2004,Y,82890200,Julian,Gagnon,Male,22-Mar-78,Chilliwack,Y,N,N,N,N,N,N,N,,
2001,N,69994867,Hazel,Claus,Female,27-Sep-65,Kimberley,N,N,N,N,N,N,N,Y,,
2001,Y,89559363,Gabe,Hunter,Male,02-Nov-57,Duncan,Y,N,N,Y,N,N,Y,N,,
2021,Y,23171486,Paisley,Wood,Female,10-Feb-92,Grand Forks,N,N,N,Y,N,N,Y,N,,
2019,Y,64632750,Natalie,Colwell,Female,29-Sep-50,Dawson Creek,N,N,N,N,N,N,N,N,,
2008,Y,30171750,Joe,Taylor,Male,18-May-78,Victoria,Y,N,N,Y,N,N,Y,N,,
2006,Y,47003817,Dylan,Campbell,Male,17-Jun-68,Campbell River,Y,N,N,N,N,N,N,N,,
2006,Y,47289441,Ben,Chan,Male,09-Apr-01,Colwood,N,N,N,Y,N,N,Y,N,,
2004,Y,42349640,Owen,Halll,Male,07-Dec-95,Langford,N,N,N,Y,N,N,Y,N,,
2018,Y,55399658,Elijah,Lapointe,Male,24-Feb-75,New Westminster,Y,N,Y,Y,N,N,N,N,,
2005,Y,20522285,Charles,Boucher,Male,15-Jun-92,New Westminster,N,N,N,Y,N,N,N,N,,
2005,Y,77397626,Lucy,Martinez,Female,10-Nov-60,Port Coquitlam,N,N,N,N,N,N,N,N,,
2007,Y,18943000,Zoe,King,Female,19-Dec-98,Terrace,N,N,N,N,N,N,N,N,,
2018,Y,29274161,Henry,Taylor,Male,19-Aug-91,Merritt,N,N,N,Y,N,N,Y,N,,
2006,Y,79091082,Tom,Carter,Male,14-Dec-70,Prince George,N,N,N,N,N,N,N,N,,
2010,Y,58599189,Paisley,Anglin,Female,23-Nov-52,Duncan,Y,N,N,Y,N,N,Y,N,,
2013,Y,97523455,Emily,Little,Female,23-Dec-66,Courtenay,N,N,N,Y,N,N,N,N,,
2003,Y,88309490,Matt,Gagnon,Male,26-Oct-56,Courtenay,Y,N,N,Y,N,N,Y,N,,
2015,Y,19655702,Avery,Chow,Female,05-May-60,Kimberley,N,N,N,Y,N,N,Y,N,,
2006,Y,91780352,Abigail,Hughes,Female,24-Jul-79,Dawson Creek,N,N,N,Y,N,N,Y,N,,
2012,Y,60434708,Chris,Wright,Male,17-Jul-94,North Vancouver,N,N,N,Y,N,N,Y,N,,
2016,Y,69678888,Isabell,Rivera,Female,13-Jul-51,Vancouver,Y,N,N,N,N,N,N,N,,
2005,N,82735344,Naomi,Bailey,Female,23-Apr-73,Armstrong,N,N,N,N,N,N,N,Y,,
2004,Y,94032948,James,Wimmons,Male,15-Sep-51,Richmond,Y,N,N,N,N,N,N,N,,
2017,Y,83076209,Evelyn,Perez,Female,18-Jul-88,Castlegar,Y,N,N,N,N,N,N,N,,
2016,Y,44360776,Sophie,Hunter,Female,10-Aug-58,Penticton,N,N,N,Y,N,N,Y,N,,
2005,Y,55108457,Hudson,Wiman,Male,04-Mar-76,Victoria,N,N,N,Y,N,N,N,N,,
2019,Y,80044818,Emma,Gagnon,Female,27-Jul-79,Revelstoke,N,N,N,N,N,N,N,N,,
2020,Y,48478317,Nora,Perry,Female,10-Jul-05,Port Coquitlam,N,N,N,N,N,N,N,N,,
2019,N,45587841,Allison,Cadot,Female,26-May-88,Terrace,Y,N,N,N,N,N,N,Y,,
2019,Y,28105988,Dan,Bellefeuille,Male,18-Jul-95,Vernon,N,N,N,N,N,N,N,N,,
2008,Y,37672673,Michael,Lara,Male,16-Oct-82,Burnaby,N,N,N,N,N,N,N,N,,
2016,Y,88745305,Chris,Campbell,Male,24-May-55,Williams Lake,N,N,N,N,N,N,N,N,,
2010,Y,19593166,Chris,Rogers,Male,03-Dec-01,North Vancouver,Y,N,N,Y,N,N,Y,N,,
2010,Y,96839818,Mason,Hebert,Male,14-Jun-79,Armstrong,Y,N,N,N,N,N,N,N,,
2018,Y,78706638,Brooklyn,Ebenal,Female,04-Mar-55,Chilliwack,Y,N,N,Y,N,N,N,N,,
2019,Y,27895645,Sam,Jackson,Male,14-Oct-59,White Rock,Y,N,N,Y,N,N,N,N,,
2008,Y,47769339,Liam,Lemelin,Male,03-Apr-66,Pitt Meadows,Y,N,N,Y,N,N,N,N,,
2008,Y,90477119,Allison,Viswam,Female,07-Jun-66,Pitt Meadows,Y,N,N,Y,N,N,Y,N,,
2010,Y,15152532,Natalie,MacDonald,Female,22-Jan-51,New Westminster,N,N,N,N,N,N,N,N,,
2017,Y,19721773,Clara,Kennedy,Female,29-Jun-83,Greenwood,Y,N,N,Y,N,N,N,N,,
2001,Y,70227258,Raelynn,Griffin,Female,30-Nov-91,Vancouver,Y,N,N,Y,N,N,N,N,,
2021,Y,45149899,Madison,Roberts,Female,31-Aug-00,Parksville,Y,N,N,N,N,N,N,N,,
2004,Y,41643246,Brooklyn,Sukkel,Female,07-Mar-71,Fort St. John,N,N,N,N,N,N,N,N,,
2014,Y,25394896,Owen,Anglin,Male,16-Nov-73,Enderby,Y,N,N,Y,N,N,Y,N,,
2021,Y,87937151,Hudson,Thomas,Male,02-Aug-72,Surrey,N,N,N,N,N,N,N,N,,
2008,N,91943724,Layla,Blanchard,Female,08-Dec-85,Dawson Creek,N,N,N,N,N,N,N,Y,,
2003,Y,20392757,Henry,Jordan,Male,21-Mar-75,Revelstoke,N,N,N,Y,N,N,N,N,,
2013,Y,48933275,Wyatt,Eaton,Male,09-Sep-84,Greenwood,Y,N,N,Y,N,N,Y,N,,
2008,Y,54437998,Audrey,Jones,Female,26-Mar-74,Chilliwack,N,N,N,Y,N,N,Y,N,,
2009,Y,53887219,John,Bryant,Male,10-May-82,Port Coquitlam,Y,N,Y,N,N,N,N,N,,
2021,Y,30359439,Adrian,Yanick,Male,14-Oct-58,Parksville,Y,N,N,Y,N,N,N,N,,
2001,Y,90616586,Mason,Longpoint,Male,24-Aug-51,Kimberley,N,N,N,N,N,N,N,N,,
2001,Y,52138069,Victoria,Mustafa,Female,23-May-73,Castlegar,Y,N,N,Y,N,N,Y,N,,
2012,Y,25541637,Jack,Munroe,Male,25-Aug-90,Surrey,N,N,N,Y,N,N,N,N,,
2000,Y,19327800,Henry,Johnson,Male,29-Jun-49,Colwood,N,N,N,Y,Y,N,N,N,,
2010,N,96408807,Jack,Nelson,Male,06-Jun-67,Quesnel,Y,N,N,N,N,N,N,Y,,
2015,Y,97113199,Aaron,Zhang,Male,30-Apr-58,Maple Ridge,Y,N,N,N,Y,N,N,N,,
2012,Y,63550405,James,Baptiste,Male,19-Dec-72,Delta,N,N,N,N,N,N,N,N,,
2010,Y,58823117,Cam,Ganot,Male,15-Sep-97,Merritt,Y,N,N,Y,N,N,N,N,,
2011,Y,28215985,Emily,Chen,Female,22-Jul-95,Courtenay,N,N,N,N,N,N,N,N,,
2006,Y,55637970,Amelia,Gagne,Female,01-Feb-76,Surrey,Y,N,N,N,N,N,N,N,,
2018,Y,32106543,Zoe,Griffin,Female,09-Oct-95,Greenwood,Y,N,N,Y,N,N,Y,N,,
2017,Y,57481820,Layla,Parkhurst,Female,11-Jan-60,Campbell River,N,N,N,Y,N,N,N,N,,
2003,N,30053553,Sarah,Diaz,Female,10-Nov-83,Port Coquitlam,N,N,N,N,N,N,N,Y,,
2019,Y,77441550,Chris,Adams,Male,12-Feb-93,Merritt,N,N,N,Y,N,N,Y,N,,
2016,Y,77279232,Adrian,Lakhani,Male,08-Mar-58,Surrey,Y,N,N,N,N,N,N,N,,
2006,Y,98917391,Leo,Fortin,Male,09-Nov-75,Revelstoke,Y,N,N,Y,N,N,N,N,,
2000,Y,11837979,Asher,Chang,Male,27-Aug-86,Cranbrook,Y,N,N,Y,N,N,Y,N,,
2006,Y,52931774,Josephine,Lewis,Female,22-Oct-65,Kimberley,N,N,N,N,N,N,N,N,,
2004,Y,23215214,Noah,Lowe,Male,02-Jan-93,Castlegar,Y,N,N,N,N,N,N,N,,
2005,Y,38356133,Avery,Edwards,Female,01-May-99,Quesnel,Y,N,N,Y,N,N,Y,N,,
2014,Y,14716989,Emma,Viswam,Female,07-Dec-64,Merritt,N,N,N,Y,N,N,Y,N,,
2007,Y,75708699,Aiden,Gagnon,Male,23-Oct-73,Vernon,N,N,N,Y,N,N,N,N,,
2016,Y,88318206,Noah,Miyazato,Male,20-Mar-81,Powell River,N,N,N,Y,N,N,Y,N,,
2007,Y,52001760,Dan,McDonald,Male,20-Mar-55,Salmon Arm,Y,N,N,N,Y,N,N,N,,
2005,Y,45341817,Lincoln,Wang,Male,24-Jun-74,New Westminster,N,N,N,Y,N,N,Y,N,,
2005,Y,59322539,Judy,Chang,Female,18-Dec-52,Richmond,N,N,N,N,N,N,N,N,,
2020,Y,16356567,Luke,Nelson,Male,19-Sep-70,Langford,N,N,N,N,N,N,N,N,,
2012,N,19971580,Olivia,Bellerose,Female,22-May-67,Nanaimo,N,N,N,N,N,N,N,N,,
2006,Y,33326591,Grace,Halll,Female,29-Nov-86,Salmon Arm,Y,N,N,N,N,N,N,N,,
2005,Y,78627861,Luke,MacDonald,Male,16-Jan-74,Quesnel,N,N,N,Y,N,N,Y,N,,
2002,Y,65530951,Sadie,Fortin,Female,25-Jul-84,Surrey,Y,N,N,N,N,N,N,N,,
2000,Y,97357133,Charlotte,Miyazato,Female,11-Apr-65,White Rock,N,N,Y,Y,N,N,Y,N,,
2012,Y,74900789,Alice,Wong,Female,18-Jun-69,Penticton,N,N,N,N,N,N,N,N,,
2021,Y,19341890,Addison,Lefebvre,Female,10-Feb-76,New Westminster,N,N,N,Y,N,N,N,N,,
2001,Y,84730788,William,Parkin,Male,15-Aug-60,New Westminster,Y,N,Y,Y,N,N,N,N,,
2018,Y,50121608,Audrey,Butler,Female,08-Jan-50,New Westminster,N,N,N,N,N,N,N,N,,
2003,Y,41644685,Tom,Tremblay,Male,11-Feb-91,Port Alberni,N,N,N,Y,N,N,Y,N,,
2002,Y,60999488,Chris,Wood,Male,27-Sep-88,Rossland,Y,N,Y,N,N,N,N,N,,
2011,Y,13085007,Josephine,McNeill,Female,19-Jul-75,West Kelowna,Y,N,N,Y,N,N,Y,N,,
2020,Y,91246554,Lincoln,Wang,Male,15-Nov-50,Duncan,Y,N,N,Y,N,N,Y,N,,
2003,N,42619817,Victoria,Cook,Female,05-May-90,Prince George,Y,N,N,N,N,N,N,N,,
2005,Y,96877047,Stella,Ross,Female,07-Apr-04,Prince Rupert,Y,N,N,N,N,N,N,N,,
2005,Y,78306161,Lincoln,Roy,Male,21-Aug-74,Colwood,Y,N,Y,Y,N,N,Y,N,,
2003,Y,89557893,Henry,Moore,Male,06-Mar-97,Williams Lake,Y,N,N,Y,N,N,Y,N,,
2007,Y,29730496,Theo,McCloud,Male,25-Jul-89,Coquitlam,Y,N,N,N,N,N,N,N,,
2019,Y,74528280,Madison,Bonnevill,Female,30-Apr-92,White Rock,Y,N,N,N,N,N,N,N,,
2004,Y,89794806,Oliver,McCloud,Male,23-Apr-98,Courtenay,N,N,N,N,N,N,N,N,,
2002,Y,40196944,Riley,Clark,Female,14-Mar-52,Terrace,N,N,Y,N,N,N,N,N,,
2018,Y,48354800,Mason,Kelly,Male,20-Aug-62,Pitt Meadows,N,N,N,N,Y,N,N,N,,
2020,Y,70635140,Scarlett,Bertrand,Female,23-Aug-81,Courtenay,Y,N,N,N,N,N,N,N,,
2016,Y,41726579,Layla,Austin,Female,21-May-73,Williams Lake,N,N,N,N,N,N,N,N,,
2006,Y,88876078,Sam,Richardson,Male,27-Apr-71,West Kelowna,N,N,N,Y,N,N,Y,N,,
2001,N,64699160,Judy,Morgan,Female,27-Oct-02,Terrace,N,N,N,N,N,N,N,N,,
2015,Y,27269542,Lillian,Rogers,Female,09-Nov-79,Port Alberni,N,N,N,Y,N,N,Y,N,,
2008,Y,31930255,Grace,Cooper,Female,06-Nov-76,Williams Lake,Y,N,N,Y,N,N,Y,N,,
2002,Y,97356372,Raelynn,Claus,Female,23-Sep-74,Abbotsford,Y,N,N,N,N,N,N,N,,
2019,Y,39736241,Luke,Parkhurst,Male,25-Jun-49,Delta,Y,N,N,Y,N,N,Y,N,,
2014,Y,54291849,Elijah,Meadows,Male,27-Oct-54,Terrace,N,N,N,Y,N,N,N,N,,
2002,Y,78299827,Samantha,Lemelin,Female,10-Jan-86,Terrace,N,N,N,Y,N,N,Y,N,,
2009,Y,72662114,Jack,Basque,Male,20-Aug-73,Surrey,N,N,N,N,N,N,N,N,,
2022,Y,52019858,John,Mustafa,Male,30-Dec-87,Abbotsford,Y,N,Y,Y,N,N,N,N,,
2007,Y,38361704,Asher,Lavoie,Male,03-Aug-82,West Kelowna,N,N,N,N,N,N,N,N,,
2022,Y,86022048,Oliver,Green,Male,20-Jul-61,Armstrong,Y,N,N,Y,N,N,Y,N,,
2004,Y,33758758,Lucy,Armstrong,Female,12-Nov-94,Grand Forks,N,N,N,N,N,N,N,N,,
2015,Y,61340395,Nolan,Taylor,Male,12-Feb-50,Coquitlam,N,N,N,Y,N,N,Y,N,,
2018,Y,23593984,Noah,Scott,Male,23-Jun-01,Quesnel,N,N,N,Y,N,N,Y,N,,
2011,Y,70926255,Gabe,Fadden,Male,04-May-74,Nanaimo,N,N,Y,N,N,N,N,N,,
